fold,direction,threshold,sharpe,cagr,mdd,end_equity,bar_count,oos_trades,oos_cont_decisions,signal,measurement,operator,role,rule_type
3,ge,0.0,1.8009903338888673,0.6483972202005108,-0.13236946834247332,16474.576357088867,2190,28,3,ema28_net_quote_norm_28,net_quote_norm_28,ema28,one_shot,fixed_natural
4,ge,0.0,-0.04975178243642704,-0.021887913474561427,-0.12788201807097188,9853.941054139208,1458,11,3,ema28_net_quote_norm_28,net_quote_norm_28,ema28,one_shot,fixed_natural
1,ge,-0.0017660534030712086,0.41383106018334737,0.08579663517583236,-0.3968248611284806,11316.614792754677,3294,28,6,ema28_net_quote_norm_28,net_quote_norm_28,ema28,one_shot,train_threshold
2,ge,0.03138779519196817,1.5375055975163145,0.5856032823972903,-0.30918733110768204,19939.803028168015,3282,47,0,ema28_net_quote_norm_28,net_quote_norm_28,ema28,one_shot,train_threshold
3,ge,0.019435696422477434,1.7728409913251022,0.6339986535843165,-0.13236946834247343,16330.836205416032,2190,28,1,ema28_net_quote_norm_28,net_quote_norm_28,ema28,one_shot,train_threshold
4,ge,0.017144742600387203,0.16606607662751888,0.013890490068299455,-0.10838399637694351,10092.136083583608,1458,11,1,ema28_net_quote_norm_28,net_quote_norm_28,ema28,one_shot,train_threshold
1,ge,0.0,0.710868568649368,0.19504288168057027,-0.3204996452635237,13070.080750185258,3294,28,6,ema28_net_quote_norm_28,net_quote_norm_28,ema28,stateful,fixed_natural
2,ge,0.0,1.5630361708183362,0.617728778983839,-0.2780636982622211,20547.679512345283,3282,47,8,ema28_net_quote_norm_28,net_quote_norm_28,ema28,stateful,fixed_natural
3,ge,0.0,1.8010772069898904,0.6476585801521886,-0.13236946834247332,16467.20258635011,2190,28,3,ema28_net_quote_norm_28,net_quote_norm_28,ema28,stateful,fixed_natural
4,ge,0.0,0.10522952478684336,0.0038592209856069815,-0.11336992209496244,10025.641135043566,1458,11,3,ema28_net_quote_norm_28,net_quote_norm_28,ema28,stateful,fixed_natural
1,ge,-0.0017660534030712086,0.7001766201638799,0.19120367318704345,-0.31579548731515394,13007.037909960454,3294,28,6,ema28_net_quote_norm_28,net_quote_norm_28,ema28,stateful,train_threshold
2,ge,-0.0036757619923203063,1.649160544594754,0.6693203044306848,-0.2780636982622211,21536.486177901337,3282,46,11,ema28_net_quote_norm_28,net_quote_norm_28,ema28,stateful,train_threshold
